G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
0,-0.00683221,,,,,,,,,,,
50,-0.0279315,,,,,,,,,,,
100,0.0577687,,,,,,,,,,,
150,-0.0524154,,,,,,,,,,,
200,-0.00289525,,,,,,,,,,,
250,-0.0997751,,,,,,,,,,,
300,-0.201956,,,,,,,,,,,
350,-0.192053,,,,,,,,,,,
400,-0.0336032,,,,,,,,,,,
450,0.0729473,,,,,,,,,,,
500,0.0535164,,,,,,,,,,,
550,0.106755,,,,,,,,,,,
600,0.075123,,,,,,,,,,,
650,0.173574,,,,,,,,,,,
700,0.117787,,,,,,,,,,,
750,-0.000896403,,,,,,,,,,,
800,-0.0979827,,,,,,,,,,,
850,-0.19464,,,,,,,,,,,
900,-0.12074,,,,,,,,,,,
950,0.0110998,,,,,,,,,,,
1000,-0.0159988,,,,,,,,,,,
1050,0.00773009,,,,,,,,,,,
1100,0.0496642,,,,,,,,,,,
1150,-0.140814,,,,,,,,,,,
1200,-0.0930106,,,,,,,,,,,
1250,0.0729852,,,,,,,,,,,
1300,-0.0272159,,,,,,,,,,,
1350,0.0364561,,,,,,,,,,,
1400,-0.000680897,,,,,,,,,,,
1450,-0.113864,,,,,,,,,,,
1500,-0.187162,,,,,,,,,,,
1550,-0.127424,,,,,,,,,,,
1600,-0.0767489,,,,,,,,,,,
1650,-0.0622091,,,,,,,,,,,
1700,-0.0446076,,,,,,,,,,,
1750,-0.126747,,,,,,,,,,,
1800,-0.219583,,,,,,,,,,,
1850,-0.330893,,,,,,,,,,,
1900,-0.264497,,,,,,,,,,,
1950,-0.285409,,,,,,,,,,,
2000,-0.269107,,,,,,,,,,,
2050,-0.260266,,,,,,,,,,,
2100,-0.305463,,,,,,,,,,,
2150,-0.24673,,,,,,,,,,,
2200,-0.176896,,,,,,,,,,,
2250,-0.0185827,,,,,,,,,,,
2300,0.0274132,,,,,,,,,,,
2350,0.0819319,,,,,,,,,,,
2400,0.0198018,,,,,,,,,,,
2450,0.102221,,,,,,,,,,,
2500,0.0820999,,,,,,,,,,,
2550,0.0468847,,,,,,,,,,,
2600,0.0260847,,,,,,,,,,,
2650,0.0171442,,,,,,,,,,,
2700,0.114497,,,,,,,,,,,
2750,0.102008,,,,,,,,,,,
2800,0.257922,,,,,,,,,,,
2850,0.248157,,,,,,,,,,,
2900,0.251818,,,,,,,,,,,
2950,0.306138,,,,,,,,,,,
3000,0.376214,,,,,,,,,,,
3050,0.366574,,,,,,,,,,,
3100,0.452135,,,,,,,,,,,
3150,0.457209,,,,,,,,,,,
3200,0.395413,,,,,,,,,,,
3250,0.432244,,,,,,,,,,,
3300,0.425016,,,,,,,,,,,
3350,0.354404,,,,,,,,,,,
3400,0.338329,,,,,,,,,,,
3450,0.244703,,,,,,,,,,,
3500,0.307554,,,,,,,,,,,
3550,0.47391,,,,,,,,,,,
3600,0.4603,,,,,,,,,,,
3650,0.354619,,,,,,,,,,,
3700,0.321557,,,,,,,,,,,
3750,0.376166,,,,,,,,,,,
3800,0.319195,,,,,,,,,,,
3850,0.322357,,,,,,,,,,,
3900,0.213915,,,,,,,,,,,
3950,0.282187,,,,,,,,,,,
4000,0.34426,,,,,,,,,,,
4050,0.243525,,,,,,,,,,,
4100,0.352647,,,,,,,,,,,
4150,0.344814,,,,,,,,,,,
4200,0.434638,,,,,,,,,,,
4250,0.429707,,,,,,,,,,,
4300,0.55412,,,,,,,,,,,
4350,0.706512,,,,,,,,,,,
4400,0.712726,,,,,,,,,,,
4450,0.754992,,,,,,,,,,,
4500,0.79846,,,,,,,,,,,
4550,0.813858,,,,,,,,,,,
4600,0.829937,,,,,,,,,,,
4650,0.923589,,,,,,,,,,,
4700,0.837147,,,,,,,,,,,
4750,0.971727,,,,,,,,,,,
4800,1.05475,,,,,,,,,,,
4850,1.00823,,,,,,,,,,,
4900,0.990373,,,,,,,,,,,
4950,0.987995,,,,,,,,,,,
5000,1.03997,,,,,,,,,,,
5050,0.898258,,,,,,,,,,,
5100,0.845626,,,,,,,,,,,
5150,0.86458,,,,,,,,,,,
5200,0.885557,,,,,,,,,,,
5250,0.867712,,,,,,,,,,,
5300,0.83131,,,,,,,,,,,
5350,0.617408,,,,,,,,,,,
5400,0.62399,,,,,,,,,,,
5450,0.519615,,,,,,,,,,,
5500,0.513047,,,,,,,,,,,
5550,0.560122,,,,,,,,,,,
5600,0.480487,,,,,,,,,,,
5650,0.612445,,,,,,,,,,,
5700,0.68909,,,,,,,,,,,
5750,0.769182,,,,,,,,,,,
5800,0.743073,,,,,,,,,,,
5850,0.713986,,,,,,,,,,,
5900,0.639773,,,,,,,,,,,
5950,0.742675,,,,,,,,,,,
6000,0.731979,,,,,,,,,,,
6050,0.727721,,,,,,,,,,,
6100,0.688433,,,,,,,,,,,
6150,0.646344,,,,,,,,,,,
6200,0.691641,,,,,,,,,,,
6250,0.595624,,,,,,,,,,,
6300,0.674565,,,,,,,,,,,
6350,0.60125,,,,,,,,,,,
6400,0.602449,,,,,,,,,,,
6450,0.396094,,,,,,,,,,,
6500,0.346573,,,,,,,,,,,
6550,0.192106,,,,,,,,,,,
6600,0.300402,,,,,,,,,,,
6650,0.306053,,,,,,,,,,,
6700,0.245832,,,,,,,,,,,
6750,0.204168,,,,,,,,,,,
6800,0.165016,,,,,,,,,,,
6850,0.208208,,,,,,,,,,,
6900,0.144388,,,,,,,,,,,
6950,0.288472,,,,,,,,,,,
7000,0.260988,,,,,,,,,,,
7050,0.205004,,,,,,,,,,,
7100,0.37524,,,,,,,,,,,
7150,0.303021,,,,,,,,,,,
7200,0.396945,,,,,,,,,,,
7250,0.309132,,,,,,,,,,,
7300,0.313353,,,,,,,,,,,
7350,0.407063,,,,,,,,,,,
7400,0.404294,,,,,,,,,,,
7450,0.302146,,,,,,,,,,,
7500,0.292425,,,,,,,,,,,
7550,0.291461,,,,,,,,,,,
7600,0.375427,,,,,,,,,,,
7650,0.449354,,,,,,,,,,,
7700,0.427736,,,,,,,,,,,
7750,0.440623,,,,,,,,,,,
7800,0.349962,,,,,,,,,,,
7850,0.382206,,,,,,,,,,,
7900,0.348894,,,,,,,,,,,
7950,0.23634,,,,,,,,,,,
8000,0.198479,,,,,,,,,,,
8050,0.322203,,,,,,,,,,,
8100,0.329876,,,,,,,,,,,
8150,0.343067,,,,,,,,,,,
8200,0.436982,,,,,,,,,,,
8250,0.315403,,,,,,,,,,,
8300,0.284231,,,,,,,,,,,
8350,0.297026,,,,,,,,,,,
8400,0.249826,,,,,,,,,,,
8450,0.301631,,,,,,,,,,,
8500,0.483285,,,,,,,,,,,
8550,0.538878,,,,,,,,,,,
8600,0.561539,,,,,,,,,,,
8650,0.559839,,,,,,,,,,,
8700,0.589811,,,,,,,,,,,
8750,0.513875,,,,,,,,,,,
8800,0.54708,,,,,,,,,,,
8850,0.629662,,,,,,,,,,,
8900,0.620705,,,,,,,,,,,
8950,0.684662,,,,,,,,,,,
9000,0.788832,,,,,,,,,,,
9050,0.865351,,,,,,,,,,,
9100,0.863009,,,,,,,,,,,
9150,0.932821,,,,,,,,,,,
9200,1.00121,,,,,,,,,,,
9250,1.03417,,,,,,,,,,,
9300,1.13331,,,,,,,,,,,
9350,1.263,,,,,,,,,,,
9400,1.3194,,,,,,,,,,,
9450,1.40256,,,,,,,,,,,
9500,1.45235,,,,,,,,,,,
9550,1.39407,,,,,,,,,,,
9600,1.4015,,,,,,,,,,,
9650,1.54783,,,,,,,,,,,
9700,1.61723,,,,,,,,,,,
9750,1.55427,,,,,,,,,,,
9800,1.72743,,,,,,,,,,,
9850,1.6754,,,,,,,,,,,
9900,1.66882,,,,,,,,,,,
9950,1.60697,,,,,,,,,,,
10000,1.58662,,,,,,,,,,,
10050,1.60808,,,,,,,,,,,
10100,1.60648,,,,,,,,,,,
10150,1.6055,,,,,,,,,,,
10200,1.58867,,,,,,,,,,,
10250,1.43924,,,,,,,,,,,
10300,1.52722,,,,,,,,,,,
10350,1.47345,,,,,,,,,,,
10400,1.572,,,,,,,,,,,
10450,1.68437,,,,,,,,,,,
10500,1.65884,,,,,,,,,,,
10550,1.65632,,,,,,,,,,,
10600,1.71045,,,,,,,,,,,
10650,1.60891,,,,,,,,,,,
10700,1.55547,,,,,,,,,,,
10750,1.48094,,,,,,,,,,,
10800,1.44864,,,,,,,,,,,
10850,1.4291,,,,,,,,,,,
10900,1.49521,,,,,,,,,,,
10950,1.629,,,,,,,,,,,
11000,1.61314,,,,,,,,,,,
11050,1.66032,,,,,,,,,,,
11100,1.56642,,,,,,,,,,,
11150,1.48164,,,,,,,,,,,
11200,1.41163,,,,,,,,,,,
11250,1.39689,,,,,,,,,,,
11300,1.36724,,,,,,,,,,,
11350,1.34853,,,,,,,,,,,
11400,1.46548,,,,,,,,,,,
11450,1.35359,,,,,,,,,,,
11500,1.47942,,,,,,,,,,,
11550,1.46258,,,,,,,,,,,
11600,1.48938,,,,,,,,,,,
11650,1.43433,,,,,,,,,,,
11700,1.57019,,,,,,,,,,,
11750,1.60075,,,,,,,,,,,
11800,1.63324,,,,,,,,,,,
11850,1.64856,,,,,,,,,,,
11900,1.63397,,,,,,,,,,,
11950,1.67657,,,,,,,,,,,
12000,1.67081,,,,,,,,,,,
12050,1.61608,,,,,,,,,,,
12100,1.51316,,,,,,,,,,,
12150,1.5212,,,,,,,,,,,
12200,1.55048,,,,,,,,,,,
12250,1.58488,,,,,,,,,,,
12300,1.55733,,,,,,,,,,,
12350,1.67846,,,,,,,,,,,
12400,1.70044,,,,,,,,,,,
12450,1.79261,,,,,,,,,,,
12500,1.80042,,,,,,,,,,,
12550,1.83086,,,,,,,,,,,
12600,1.83565,,,,,,,,,,,
12650,1.82484,,,,,,,,,,,
12700,1.71584,,,,,,,,,,,
12750,1.81275,,,,,,,,,,,
12800,1.83156,,,,,,,,,,,
12850,1.79981,,,,,,,,,,,
12900,1.65889,,,,,,,,,,,
12950,1.65972,,,,,,,,,,,
13000,1.75632,,,,,,,,,,,
13050,1.79566,,,,,,,,,,,
13100,1.8302,,,,,,,,,,,
13150,1.80867,,,,,,,,,,,
13200,1.89838,,,,,,,,,,,
13250,2.02733,,,,,,,,,,,
13300,1.91849,,,,,,,,,,,
13350,1.92446,,,,,,,,,,,
13400,1.8361,,,,,,,,,,,
13450,1.75842,,,,,,,,,,,
13500,1.76642,,,,,,,,,,,
13550,1.70926,,,,,,,,,,,
13600,1.72725,,,,,,,,,,,
13650,1.68781,,,,,,,,,,,
13700,1.77746,,,,,,,,,,,
13750,1.87342,,,,,,,,,,,
13800,1.77131,,,,,,,,,,,
13850,1.65707,,,,,,,,,,,
13900,1.7005,,,,,,,,,,,
13950,1.74831,,,,,,,,,,,
14000,1.79696,,,,,,,,,,,
14050,1.72334,,,,,,,,,,,
14100,1.86439,,,,,,,,,,,
14150,1.80377,,,,,,,,,,,
14200,1.72837,,,,,,,,,,,
14250,1.66593,,,,,,,,,,,
14300,1.67492,,,,,,,,,,,
14350,1.62767,,,,,,,,,,,
14400,1.56504,,,,,,,,,,,
14450,1.51464,,,,,,,,,,,
14500,1.486,,,,,,,,,,,
14550,1.63224,,,,,,,,,,,
14600,1.52315,,,,,,,,,,,
14650,1.41778,,,,,,,,,,,
14700,1.40569,,,,,,,,,,,
14750,1.48189,,,,,,,,,,,
14800,1.58192,,,,,,,,,,,
14850,1.62598,,,,,,,,,,,
14900,1.54248,,,,,,,,,,,
14950,1.4255,,,,,,,,,,,
15000,1.42049,,,,,,,,,,,
15050,1.37825,,,,,,,,,,,
15100,1.20035,,,,,,,,,,,
15150,1.36571,,,,,,,,,,,
15200,1.33457,,,,,,,,,,,
15250,1.39833,,,,,,,,,,,
15300,1.46222,,,,,,,,,,,
15350,1.506,,,,,,,,,,,
15400,1.642,,,,,,,,,,,
15450,1.70052,,,,,,,,,,,
15500,1.61798,,,,,,,,,,,
15550,1.70982,,,,,,,,,,,
15600,1.62548,,,,,,,,,,,
15650,1.64119,,,,,,,,,,,
