G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
0,0.000464943,,,,,,,,,,,
50,0.0827401,,,,,,,,,,,
100,0.0905569,,,,,,,,,,,
150,0.0223365,,,,,,,,,,,
200,-0.0777626,,,,,,,,,,,
250,-0.0921537,,,,,,,,,,,
300,0.0774685,,,,,,,,,,,
350,-0.0084761,,,,,,,,,,,
400,-0.0368084,,,,,,,,,,,
450,0.0211717,,,,,,,,,,,
500,-0.0658603,,,,,,,,,,,
550,0.0893015,,,,,,,,,,,
600,0.138212,,,,,,,,,,,
650,0.0397922,,,,,,,,,,,
700,-0.0649049,,,,,,,,,,,
750,-0.00753815,,,,,,,,,,,
800,-0.0474405,,,,,,,,,,,
850,-0.0342258,,,,,,,,,,,
900,-0.00189366,,,,,,,,,,,
950,-0.139065,,,,,,,,,,,
1000,-0.327139,,,,,,,,,,,
1050,-0.26097,,,,,,,,,,,
1100,-0.20645,,,,,,,,,,,
1150,-0.0924239,,,,,,,,,,,
1200,-0.138341,,,,,,,,,,,
1250,-0.190613,,,,,,,,,,,
1300,-0.0502913,,,,,,,,,,,
1350,-0.022565,,,,,,,,,,,
1400,-0.136288,,,,,,,,,,,
1450,-0.294178,,,,,,,,,,,
1500,-0.259323,,,,,,,,,,,
1550,-0.277273,,,,,,,,,,,
1600,-0.363433,,,,,,,,,,,
1650,-0.357636,,,,,,,,,,,
1700,-0.346263,,,,,,,,,,,
1750,-0.478949,,,,,,,,,,,
1800,-0.529098,,,,,,,,,,,
1850,-0.492096,,,,,,,,,,,
1900,-0.562195,,,,,,,,,,,
1950,-0.599878,,,,,,,,,,,
2000,-0.514974,,,,,,,,,,,
2050,-0.349497,,,,,,,,,,,
2100,-0.387165,,,,,,,,,,,
2150,-0.540275,,,,,,,,,,,
2200,-0.682154,,,,,,,,,,,
2250,-0.709046,,,,,,,,,,,
2300,-0.862886,,,,,,,,,,,
2350,-0.844396,,,,,,,,,,,
2400,-0.865001,,,,,,,,,,,
2450,-0.732896,,,,,,,,,,,
2500,-0.743041,,,,,,,,,,,
2550,-0.662212,,,,,,,,,,,
2600,-0.598513,,,,,,,,,,,
2650,-0.742039,,,,,,,,,,,
2700,-0.678722,,,,,,,,,,,
2750,-0.660186,,,,,,,,,,,
2800,-0.638066,,,,,,,,,,,
2850,-0.727144,,,,,,,,,,,
2900,-0.656462,,,,,,,,,,,
2950,-0.591887,,,,,,,,,,,
3000,-0.647333,,,,,,,,,,,
3050,-0.670943,,,,,,,,,,,
3100,-0.652413,,,,,,,,,,,
3150,-0.537789,,,,,,,,,,,
3200,-0.449363,,,,,,,,,,,
3250,-0.556309,,,,,,,,,,,
3300,-0.696271,,,,,,,,,,,
3350,-0.856303,,,,,,,,,,,
3400,-0.74901,,,,,,,,,,,
3450,-0.77904,,,,,,,,,,,
3500,-0.577858,,,,,,,,,,,
3550,-0.564473,,,,,,,,,,,
3600,-0.465494,,,,,,,,,,,
3650,-0.461297,,,,,,,,,,,
3700,-0.423031,,,,,,,,,,,
3750,-0.550596,,,,,,,,,,,
3800,-0.574467,,,,,,,,,,,
3850,-0.619131,,,,,,,,,,,
3900,-0.70631,,,,,,,,,,,
3950,-0.850051,,,,,,,,,,,
4000,-0.864129,,,,,,,,,,,
4050,-0.75405,,,,,,,,,,,
4100,-0.528456,,,,,,,,,,,
4150,-0.427091,,,,,,,,,,,
4200,-0.398808,,,,,,,,,,,
4250,-0.549256,,,,,,,,,,,
4300,-0.486483,,,,,,,,,,,
4350,-0.651695,,,,,,,,,,,
4400,-0.820519,,,,,,,,,,,
4450,-0.782049,,,,,,,,,,,
4500,-0.830807,,,,,,,,,,,
4550,-0.929134,,,,,,,,,,,
4600,-0.889583,,,,,,,,,,,
4650,-0.899549,,,,,,,,,,,
4700,-0.965528,,,,,,,,,,,
4750,-0.901135,,,,,,,,,,,
4800,-1.0192,,,,,,,,,,,
4850,-1.08399,,,,,,,,,,,
4900,-1.15412,,,,,,,,,,,
4950,-1.14254,,,,,,,,,,,
5000,-1.19676,,,,,,,,,,,
5050,-1.13571,,,,,,,,,,,
5100,-0.975238,,,,,,,,,,,
5150,-0.981923,,,,,,,,,,,
5200,-0.913563,,,,,,,,,,,
5250,-1.00427,,,,,,,,,,,
5300,-1.02613,,,,,,,,,,,
5350,-0.964068,,,,,,,,,,,
5400,-1.00196,,,,,,,,,,,
5450,-1.07293,,,,,,,,,,,
5500,-1.15294,,,,,,,,,,,
5550,-1.1576,,,,,,,,,,,
5600,-1.27705,,,,,,,,,,,
5650,-1.33918,,,,,,,,,,,
5700,-1.42037,,,,,,,,,,,
5750,-1.4522,,,,,,,,,,,
5800,-1.50905,,,,,,,,,,,
5850,-1.43149,,,,,,,,,,,
5900,-1.3565,,,,,,,,,,,
5950,-1.32874,,,,,,,,,,,
6000,-1.30848,,,,,,,,,,,
6050,-1.38665,,,,,,,,,,,
6100,-1.3507,,,,,,,,,,,
6150,-1.2726,,,,,,,,,,,
6200,-1.38461,,,,,,,,,,,
6250,-1.39203,,,,,,,,,,,
6300,-1.2954,,,,,,,,,,,
6350,-1.3168,,,,,,,,,,,
6400,-1.2801,,,,,,,,,,,
6450,-1.31775,,,,,,,,,,,
6500,-1.28791,,,,,,,,,,,
6550,-1.18536,,,,,,,,,,,
6600,-1.21135,,,,,,,,,,,
6650,-1.15533,,,,,,,,,,,
6700,-1.19865,,,,,,,,,,,
6750,-1.23088,,,,,,,,,,,
6800,-1.21272,,,,,,,,,,,
6850,-1.29969,,,,,,,,,,,
6900,-1.40289,,,,,,,,,,,
6950,-1.43399,,,,,,,,,,,
7000,-1.49339,,,,,,,,,,,
7050,-1.51949,,,,,,,,,,,
7100,-1.55784,,,,,,,,,,,
7150,-1.58709,,,,,,,,,,,
7200,-1.66883,,,,,,,,,,,
7250,-1.74465,,,,,,,,,,,
7300,-1.86782,,,,,,,,,,,
7350,-1.87019,,,,,,,,,,,
7400,-1.8541,,,,,,,,,,,
7450,-1.88561,,,,,,,,,,,
7500,-1.9134,,,,,,,,,,,
7550,-1.92141,,,,,,,,,,,
7600,-2.08025,,,,,,,,,,,
7650,-2.20689,,,,,,,,,,,
7700,-2.11679,,,,,,,,,,,
7750,-2.09139,,,,,,,,,,,
7800,-1.94584,,,,,,,,,,,
7850,-1.90979,,,,,,,,,,,
7900,-1.84719,,,,,,,,,,,
7950,-1.83556,,,,,,,,,,,
8000,-1.68352,,,,,,,,,,,
8050,-1.65492,,,,,,,,,,,
8100,-1.69559,,,,,,,,,,,
8150,-1.72125,,,,,,,,,,,
8200,-1.60169,,,,,,,,,,,
8250,-1.64516,,,,,,,,,,,
8300,-1.60978,,,,,,,,,,,
8350,-1.45078,,,,,,,,,,,
8400,-1.4042,,,,,,,,,,,
8450,-1.38549,,,,,,,,,,,
8500,-1.30866,,,,,,,,,,,
8550,-1.23487,,,,,,,,,,,
8600,-1.20769,,,,,,,,,,,
8650,-1.30701,,,,,,,,,,,
8700,-1.32716,,,,,,,,,,,
8750,-1.18309,,,,,,,,,,,
8800,-1.23987,,,,,,,,,,,
8850,-1.22519,,,,,,,,,,,
8900,-1.12426,,,,,,,,,,,
8950,-1.12174,,,,,,,,,,,
9000,-1.15361,,,,,,,,,,,
9050,-1.21835,,,,,,,,,,,
9100,-1.1299,,,,,,,,,,,
9150,-1.01623,,,,,,,,,,,
9200,-1.0216,,,,,,,,,,,
9250,-0.93319,,,,,,,,,,,
9300,-0.929764,,,,,,,,,,,
9350,-0.983799,,,,,,,,,,,
9400,-0.939238,,,,,,,,,,,
9450,-0.885882,,,,,,,,,,,
