G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
0,-0.000469344,,,,,,,,,,,
50,-0.0395132,,,,,,,,,,,
100,0.0992597,,,,,,,,,,,
150,0.149275,,,,,,,,,,,
200,0.0830222,,,,,,,,,,,
250,-0.00670856,,,,,,,,,,,
300,0.0470645,,,,,,,,,,,
350,-0.0134652,,,,,,,,,,,
400,-0.107913,,,,,,,,,,,
450,-0.278933,,,,,,,,,,,
500,-0.427024,,,,,,,,,,,
550,-0.450827,,,,,,,,,,,
600,-0.320497,,,,,,,,,,,
650,-0.318037,,,,,,,,,,,
700,-0.269712,,,,,,,,,,,
750,-0.167852,,,,,,,,,,,
800,-0.19414,,,,,,,,,,,
850,-0.0839451,,,,,,,,,,,
900,-0.242543,,,,,,,,,,,
950,-0.255514,,,,,,,,,,,
1000,-0.160784,,,,,,,,,,,
1050,-0.183469,,,,,,,,,,,
1100,0.0128995,,,,,,,,,,,
1150,0.072224,,,,,,,,,,,
1200,0.0992911,,,,,,,,,,,
1250,0.0768851,,,,,,,,,,,
1300,0.00486158,,,,,,,,,,,
1350,-0.0949709,,,,,,,,,,,
1400,-0.171438,,,,,,,,,,,
1450,-0.227862,,,,,,,,,,,
1500,-0.289576,,,,,,,,,,,
1550,-0.310673,,,,,,,,,,,
1600,-0.458824,,,,,,,,,,,
1650,-0.485202,,,,,,,,,,,
1700,-0.570636,,,,,,,,,,,
1750,-0.607223,,,,,,,,,,,
1800,-0.590454,,,,,,,,,,,
1850,-0.668641,,,,,,,,,,,
1900,-0.618498,,,,,,,,,,,
1950,-0.641498,,,,,,,,,,,
2000,-0.650699,,,,,,,,,,,
2050,-0.618941,,,,,,,,,,,
2100,-0.521377,,,,,,,,,,,
2150,-0.548014,,,,,,,,,,,
2200,-0.629196,,,,,,,,,,,
2250,-0.607514,,,,,,,,,,,
2300,-0.516532,,,,,,,,,,,
2350,-0.465501,,,,,,,,,,,
2400,-0.478462,,,,,,,,,,,
2450,-0.49383,,,,,,,,,,,
2500,-0.459848,,,,,,,,,,,
2550,-0.521192,,,,,,,,,,,
2600,-0.582539,,,,,,,,,,,
2650,-0.53126,,,,,,,,,,,
2700,-0.497857,,,,,,,,,,,
2750,-0.477355,,,,,,,,,,,
2800,-0.466811,,,,,,,,,,,
2850,-0.544619,,,,,,,,,,,
2900,-0.55304,,,,,,,,,,,
2950,-0.622254,,,,,,,,,,,
3000,-0.519592,,,,,,,,,,,
3050,-0.499881,,,,,,,,,,,
3100,-0.570371,,,,,,,,,,,
3150,-0.634342,,,,,,,,,,,
3200,-0.63298,,,,,,,,,,,
3250,-0.644651,,,,,,,,,,,
3300,-0.722419,,,,,,,,,,,
3350,-0.60006,,,,,,,,,,,
3400,-0.633242,,,,,,,,,,,
3450,-0.705273,,,,,,,,,,,
3500,-0.795256,,,,,,,,,,,
3550,-0.779874,,,,,,,,,,,
3600,-0.725928,,,,,,,,,,,
3650,-0.829171,,,,,,,,,,,
3700,-0.836678,,,,,,,,,,,
3750,-0.798709,,,,,,,,,,,
3800,-0.892195,,,,,,,,,,,
3850,-0.727402,,,,,,,,,,,
3900,-0.773366,,,,,,,,,,,
3950,-0.807015,,,,,,,,,,,
4000,-0.878143,,,,,,,,,,,
4050,-0.802768,,,,,,,,,,,
4100,-0.735927,,,,,,,,,,,
4150,-0.656791,,,,,,,,,,,
4200,-0.646875,,,,,,,,,,,
4250,-0.702261,,,,,,,,,,,
4300,-0.725646,,,,,,,,,,,
4350,-0.694608,,,,,,,,,,,
4400,-0.713645,,,,,,,,,,,
4450,-0.706693,,,,,,,,,,,
4500,-0.584929,,,,,,,,,,,
4550,-0.59896,,,,,,,,,,,
4600,-0.576966,,,,,,,,,,,
4650,-0.523398,,,,,,,,,,,
4700,-0.544887,,,,,,,,,,,
4750,-0.507105,,,,,,,,,,,
4800,-0.543753,,,,,,,,,,,
4850,-0.525404,,,,,,,,,,,
4900,-0.436212,,,,,,,,,,,
4950,-0.516184,,,,,,,,,,,
5000,-0.523627,,,,,,,,,,,
5050,-0.407724,,,,,,,,,,,
5100,-0.338201,,,,,,,,,,,
5150,-0.398691,,,,,,,,,,,
5200,-0.360734,,,,,,,,,,,
5250,-0.283719,,,,,,,,,,,
5300,-0.240558,,,,,,,,,,,
5350,-0.242577,,,,,,,,,,,
5400,-0.12182,,,,,,,,,,,
5450,-0.0448204,,,,,,,,,,,
5500,-0.0601549,,,,,,,,,,,
5550,-0.0644806,,,,,,,,,,,
5600,-0.154156,,,,,,,,,,,
5650,-0.129351,,,,,,,,,,,
5700,-0.0732122,,,,,,,,,,,
5750,-0.0538153,,,,,,,,,,,
5800,-0.0946699,,,,,,,,,,,
5850,-0.188132,,,,,,,,,,,
5900,-0.227047,,,,,,,,,,,
5950,-0.180313,,,,,,,,,,,
6000,-0.223952,,,,,,,,,,,
6050,-0.169617,,,,,,,,,,,
6100,-0.152358,,,,,,,,,,,
6150,-0.11092,,,,,,,,,,,
6200,-0.153091,,,,,,,,,,,
6250,-0.151481,,,,,,,,,,,
6300,-0.167944,,,,,,,,,,,
6350,-0.189658,,,,,,,,,,,
6400,-0.210498,,,,,,,,,,,
6450,-0.294356,,,,,,,,,,,
6500,-0.379274,,,,,,,,,,,
6550,-0.491782,,,,,,,,,,,
6600,-0.496106,,,,,,,,,,,
6650,-0.333163,,,,,,,,,,,
6700,-0.168185,,,,,,,,,,,
6750,-0.178045,,,,,,,,,,,
6800,-0.23865,,,,,,,,,,,
