G,zS0,zS1,zS2,zS3,zS4,zS5,zS6,zS7,zS8,zS9,zS10,zS11
0,-9.46E-05,,,,,,,,,,,
50,-0.0476092,,,,,,,,,,,
100,-0.0463642,,,,,,,,,,,
150,0.00409113,,,,,,,,,,,
200,-0.0341294,,,,,,,,,,,
250,-0.0657971,,,,,,,,,,,
300,-0.164374,,,,,,,,,,,
350,-0.0811931,,,,,,,,,,,
400,0.0477571,,,,,,,,,,,
450,0.212005,,,,,,,,,,,
500,0.241152,,,,,,,,,,,
550,0.114881,,,,,,,,,,,
600,0.119763,,,,,,,,,,,
650,0.213221,,,,,,,,,,,
700,0.228463,,,,,,,,,,,
750,0.309517,,,,,,,,,,,
800,0.309052,,,,,,,,,,,
850,0.327252,,,,,,,,,,,
900,0.389974,,,,,,,,,,,
950,0.311951,,,,,,,,,,,
1000,0.489777,,,,,,,,,,,
1050,0.443956,,,,,,,,,,,
1100,0.542059,,,,,,,,,,,
1150,0.601087,,,,,,,,,,,
1200,0.616047,,,,,,,,,,,
1250,0.617215,,,,,,,,,,,
1300,0.623355,,,,,,,,,,,
1350,0.606867,,,,,,,,,,,
1400,0.52888,,,,,,,,,,,
1450,0.388604,,,,,,,,,,,
1500,0.254186,,,,,,,,,,,
1550,0.0983611,,,,,,,,,,,
1600,0.1097,,,,,,,,,,,
1650,0.18779,,,,,,,,,,,
1700,0.200715,,,,,,,,,,,
1750,0.185071,,,,,,,,,,,
1800,0.208653,,,,,,,,,,,
1850,0.136178,,,,,,,,,,,
1900,0.109506,,,,,,,,,,,
1950,0.0465705,,,,,,,,,,,
2000,0.0788431,,,,,,,,,,,
2050,0.116649,,,,,,,,,,,
2100,0.124917,,,,,,,,,,,
2150,0.139718,,,,,,,,,,,
2200,0.279202,,,,,,,,,,,
2250,0.298159,,,,,,,,,,,
2300,0.354394,,,,,,,,,,,
2350,0.273289,,,,,,,,,,,
2400,0.191729,,,,,,,,,,,
2450,0.119026,,,,,,,,,,,
2500,0.0604433,,,,,,,,,,,
2550,-0.0527969,,,,,,,,,,,
2600,-0.142186,,,,,,,,,,,
2650,-0.232994,,,,,,,,,,,
2700,-0.142516,,,,,,,,,,,
2750,-0.202253,,,,,,,,,,,
2800,-0.172689,,,,,,,,,,,
2850,-0.274429,,,,,,,,,,,
2900,-0.292228,,,,,,,,,,,
2950,-0.315431,,,,,,,,,,,
3000,-0.253673,,,,,,,,,,,
3050,-0.213248,,,,,,,,,,,
3100,-0.251565,,,,,,,,,,,
3150,-0.190272,,,,,,,,,,,
3200,-0.197304,,,,,,,,,,,
3250,-0.095511,,,,,,,,,,,
3300,-0.11531,,,,,,,,,,,
3350,-0.0669202,,,,,,,,,,,
3400,-0.120578,,,,,,,,,,,
3450,-0.0295394,,,,,,,,,,,
3500,-0.018385,,,,,,,,,,,
3550,-0.00444107,,,,,,,,,,,
3600,-0.0444907,,,,,,,,,,,
3650,-0.181138,,,,,,,,,,,
3700,-0.147999,,,,,,,,,,,
3750,-0.110481,,,,,,,,,,,
3800,-0.0826524,,,,,,,,,,,
3850,-0.0514221,,,,,,,,,,,
3900,0.0873117,,,,,,,,,,,
3950,0.0986392,,,,,,,,,,,
4000,0.00952756,,,,,,,,,,,
4050,0.0455106,,,,,,,,,,,
4100,0.0438112,,,,,,,,,,,
4150,-0.033026,,,,,,,,,,,
4200,0.00565555,,,,,,,,,,,
4250,0.0235001,,,,,,,,,,,
4300,0.0551355,,,,,,,,,,,
4350,-0.00841368,,,,,,,,,,,
4400,0.00889881,,,,,,,,,,,
4450,-0.00168165,,,,,,,,,,,
4500,-0.047856,,,,,,,,,,,
4550,0.062999,,,,,,,,,,,
4600,0.0462107,,,,,,,,,,,
4650,0.159906,,,,,,,,,,,
4700,0.297488,,,,,,,,,,,
4750,0.327798,,,,,,,,,,,
4800,0.440816,,,,,,,,,,,
4850,0.287297,,,,,,,,,,,
4900,0.298592,,,,,,,,,,,
4950,0.27838,,,,,,,,,,,
5000,0.286455,,,,,,,,,,,
5050,0.240837,,,,,,,,,,,
5100,0.195794,,,,,,,,,,,
5150,0.265049,,,,,,,,,,,
5200,0.31492,,,,,,,,,,,
5250,0.233044,,,,,,,,,,,
5300,0.275574,,,,,,,,,,,
5350,0.323977,,,,,,,,,,,
5400,0.292805,,,,,,,,,,,
5450,0.309837,,,,,,,,,,,
5500,0.273093,,,,,,,,,,,
5550,0.322529,,,,,,,,,,,
5600,0.22711,,,,,,,,,,,
5650,0.274416,,,,,,,,,,,
5700,0.0402799,,,,,,,,,,,
5750,-0.0127793,,,,,,,,,,,
5800,-0.138228,,,,,,,,,,,
5850,-0.133362,,,,,,,,,,,
5900,-0.123127,,,,,,,,,,,
5950,-0.24183,,,,,,,,,,,
6000,-0.256662,,,,,,,,,,,
6050,-0.230546,,,,,,,,,,,
6100,-0.209011,,,,,,,,,,,
6150,-0.167454,,,,,,,,,,,
6200,-0.202412,,,,,,,,,,,
6250,-0.132719,,,,,,,,,,,
6300,-0.00730412,,,,,,,,,,,
6350,0.0601643,,,,,,,,,,,
6400,0.130209,,,,,,,,,,,
6450,0.141758,,,,,,,,,,,
6500,0.100461,,,,,,,,,,,
6550,0.0874506,,,,,,,,,,,
6600,0.00586303,,,,,,,,,,,
6650,-0.0658386,,,,,,,,,,,
6700,-0.0571985,,,,,,,,,,,
6750,-0.00887316,,,,,,,,,,,
6800,0.0115816,,,,,,,,,,,
6850,0.0157069,,,,,,,,,,,
6900,0.178941,,,,,,,,,,,
6950,0.096204,,,,,,,,,,,
7000,-0.0235561,,,,,,,,,,,
7050,0.020004,,,,,,,,,,,
7100,0.120627,,,,,,,,,,,
7150,0.125446,,,,,,,,,,,
7200,0.205187,,,,,,,,,,,
7250,0.300158,,,,,,,,,,,
7300,0.281938,,,,,,,,,,,
7350,0.333667,,,,,,,,,,,
7400,0.435711,,,,,,,,,,,
7450,0.553415,,,,,,,,,,,
7500,0.649815,,,,,,,,,,,
7550,0.630537,,,,,,,,,,,
7600,0.618542,,,,,,,,,,,
7650,0.646629,,,,,,,,,,,
7700,0.764738,,,,,,,,,,,
7750,0.74059,,,,,,,,,,,
7800,0.872384,,,,,,,,,,,
7850,0.877506,,,,,,,,,,,
7900,0.935488,,,,,,,,,,,
7950,0.900736,,,,,,,,,,,
8000,0.858077,,,,,,,,,,,
8050,0.761877,,,,,,,,,,,
8100,0.666456,,,,,,,,,,,
8150,0.792018,,,,,,,,,,,
8200,0.758856,,,,,,,,,,,
8250,0.685184,,,,,,,,,,,
8300,0.656441,,,,,,,,,,,
8350,0.665525,,,,,,,,,,,
8400,0.804088,,,,,,,,,,,
8450,0.806774,,,,,,,,,,,
8500,0.787886,,,,,,,,,,,
8550,0.648202,,,,,,,,,,,
8600,0.556705,,,,,,,,,,,
8650,0.550338,,,,,,,,,,,
8700,0.475703,,,,,,,,,,,
8750,0.4034,,,,,,,,,,,
8800,0.288115,,,,,,,,,,,
8850,0.287059,,,,,,,,,,,
8900,0.301836,,,,,,,,,,,
8950,0.317435,,,,,,,,,,,
9000,0.24185,,,,,,,,,,,
9050,0.269166,,,,,,,,,,,
9100,0.196204,,,,,,,,,,,
9150,0.105644,,,,,,,,,,,
9200,0.152097,,,,,,,,,,,
9250,0.0395967,,,,,,,,,,,
9300,0.0815522,,,,,,,,,,,
9350,0.0377559,,,,,,,,,,,
9400,-0.123493,,,,,,,,,,,
9450,-0.186355,,,,,,,,,,,
9500,-0.182191,,,,,,,,,,,
9550,-0.206836,,,,,,,,,,,
9600,-0.18391,,,,,,,,,,,
